id,first_name,last_name,industry,employee_band,region,source
L1,Ava,Nguyen,tech,201-1000,NA,referral
L2,Ben,Ortiz,tech,1001-5000,NA,partner
L3,Cara,Singh,finance,5001+,EMEA,event
L4,Dan,Weiss,healthcare,51-200,NA,marketing_campaign
L5,Elena,Park,retail,11-50,APAC,cold_outreach
L6,Frank,Yamada,agriculture,1-10,LATAM,cold_outreach
L7,Grace,Osei,tech,51-200,EMEA,webform
L8,Hugo,Lin,telecom,1001-5000,ANZ,partner
L9,Isha,Mehta,education,1-10,APAC,marketing_campaign
L10,Jack,Rowe,government,201-1000,NA,cold_outreach
L11,Kira,Sato,media,11-50,APAC,webform
L12,Leo,Duval,real_estate,51-200,EMEA,referral
L13,Mia,Costa,hospitality,1-10,LATAM,webform
L14,Nate,Weber,energy,5001+,NA,partner
L15,Omar,Diallo,transportation,201-1000,EMEA,event
L16,Priya,Rao,manufacturing,1001-5000,APAC,referral
L17,Quinn,Bauer,other,11-50,ANZ,cold_outreach
L18,Rita,Kang,finance,51-200,APAC,referral
L19,Sam,Alavi,tech,1-10,NA,event
L20,Tara,Ilic,healthcare,5001+,EMEA,partner
